Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Бабійчук,Мирослав,Олегович,Чоловік,13.12.1926,Паблік рилейшнз,місто Запоріжжя,"парк Ломоносова, буд. 5, Перемишляни, 26482",414 94 33,snizhanaiaremchuk@example.com
Лесик,Вікторія,Олегівна,Жінка,09.12.1940,Каскадер,селище Березань ,"набережна Пісочний, буд. 3 кв. 4, Зборів, 46679",510 10 99,aaron66@example.net
Хоменко,Ярослав,Степанович,Чоловік,11.12.1934,Няня,село Деражня,"шосе Леонтовича, буд. 66 кв. 33, Вишгород, 68436",+380 76 441-68-80,verkhovynetsserhii@example.com
Хомик,Юхим,Романович,Чоловік,12.12.1929,Фермер,хутір Балаклія,"набережна Немировича-Данченка, буд. 4, Снятин, 48565",+380 (35) 559-42-94,umatiash@example.org
Скорик,Роксолана,Максимівна,Жінка,10.12.1938,Няня,місто Кам'янка (Черкаська область),"проспект Східчастий 4-й, буд. 544 кв. 483, Сєвєродонецьк, 82178",+380 51 295 86 98,romaniemelianenko@example.com
Чубай,Златослава,Богданівна,Жінка,10.12.1937,Актор,хутір Болград,"проспект Ушакова, буд. 86, Горлівка, 38828",098 189-78-44,kostiantyn23@example.net
Дараган,Арсен,Ярославович,Чоловік,14.12.1923,Кухар,селище Могилів-Подільський,"площа Заводська 2-га, буд. 1 кв. 014, Горлівка, 64441",055 276-68-14,vshapoval@example.org
Артюх,Давид,Максимович,Чоловік,07.12.1951,Перекладач,місто Богуслав,"парк Одеська, буд. 754, Саки , 49908",+380 39 718-39-32,shmorhunkhrystyna@example.org
Забіла,Валерій,Максимович,Чоловік,12.12.1931,Клавішник,селище Радивилів,"вулиця 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 74 кв. 475, Жданівка, 31597",+380 85 042 71 10,ptsarenko@example.org
Перебийніс,Надія,Ярославівна,Жінка,07.12.1949,Реабілітолог,місто Одеса,"провулок Слави, буд. 1, Шумськ, 45727",029 931-93-10,shamraialevtyn@example.com
Рябченко,Світлана,Анатоліївна,Жінка,09.12.1942,Паралегал,місто Каховка,"площа Вознесенський, буд. 069, Козятин, 93318",+380 23 440-93-79,tymofiitsybulenko@example.com
Єременко,Степан,Артемович,Чоловік,08.12.1945,Електромонтажник,місто Острог,"вулиця Чубаївський, буд. 51 кв. 26, Новий Калинів, 02967",+380 71 782-53-95,obabarychenko@example.com
Черінько,Марія,Ігорівна,Жінка,08.12.1944,Ґрунтознавець,хутір Сулимівка (Слов'янськ),"вулиця Глазунова 1-й, буд. 717 кв. 89, Валки , 47755",+380 92 354-26-25,opanas04@example.net
Худобʼяк,Ярина,Зеновіївна,Жінка,09.12.1940,Кінорежисер,місто Стрий,"шосе Новикова, буд. 233 кв. 20, Балта, 45376",007-57-14,avramchukboleslav@example.org
Кибкало,Макар,Ігорович,Чоловік,08.12.1944,Етнограф,місто Новодружеськ,"сквер 13-та Суворовська, буд. 21, Пирятин, 92409",+380 67 274-00-84,csych@example.net
Зарудний,Роксолана,Олегівна,Жінка,08.12.1944,Шериф,село Сорокине,"набережна Геранієва, буд. 57, Павлоград, 68721",+380 33 260-18-02,havrylyshynbohdan@example.org
Карась,Лілія,Ярославівна,Жінка,07.12.1948,Епідеміолог,хутір Чернівці,"вулиця Соляна, буд. 8 кв. 814, Зіньків, 24223",535-24-89,oavramchuk@example.org
Байда,Тетяна,Ярославівна,Жінка,09.12.1941,Машиніст,село Первомайськ,"шосе Юннатів, буд. 1 кв. 692, Старобільськ, 48049",+380 76 033-39-39,novsiienko@example.net
Перебийніс,Варвара,Богданівна,Жінка,11.12.1932,Економіст,місто Городок,"провулок Волоколамська, буд. 451, Ізюм, 41017",+380 (57) 016-64-18,mykhailynafurs@example.com
Палій,Ірина,Романівна,Жінка,09.12.1940,Електромонтажник,місто Теплодар,"проспект Військовий узвіз, буд. 576 кв. 2, Новгород-Сіверський, 14577",+380 50 978-31-74,prytulaartem@example.org
Величко,Орест,Романович,Чоловік,14.12.1923,Художник,село Немирів,"проспект Молокова, буд. 51 кв. 3, Хмільник, 34199",+380 (94) 665-16-58,emiliiavermenych@example.net
Андрієнко,Розалія,Анатоліївна,Жінка,07.12.1951,Детектив,село Вільногірськ,"вулиця Сортувальна 1-ша, буд. 28, Дубляни, 78692",+380 (38) 217-35-42,pkadeniuk@example.org
Данько,Оксана,Зеновіївна,Жінка,09.12.1942,Єгер,селище Білопілля,"шосе Ушакова, буд. 20 кв. 72, Ровеньки, 55573",+380 72 200 46 46,iarynahaidabura@example.com
Мірошниченко,Ада,Артемівна,Жінка,13.12.1926,Круп'є,село Зимогір'я,"шосе Миколаївська дорога, буд. 76 кв. 5, Кадіївка, 43174",004 760-30-66,vasyliarema@example.net
Носаченко,Кирило,Анатолійович,Чоловік,09.12.1942,Астрофізик,село Путивль,"провулок Вокзальний, буд. 61, Джанкой, 22457",+380 (02) 197-17-01,vadymmatviienko@example.org
Данчук,Роман,Анатолійович,Чоловік,12.12.1928,Професор,хутір Семенівка,"парк 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 58, Біла Церква, 71128",005 386 01 13,iereskoleopold@example.com
Тихий,Мілена,Романівна,Жінка,08.12.1946,Ріелтор,село Білицьке,"сквер Сурикова 2-й, буд. 30 кв. 053, Рені, 96034",+380 (27) 688-63-96,artymfedir@example.net
Гавриленко,Пилип,Васильович,Чоловік,06.12.1952,Клоун,село Сновськ,"набережна Кипарисний 3-й, буд. 585, Гола Пристань, 53295",+380 26 908-73-34,borysvertyporokh@example.com
Заїка,Веніямин,Анатолійович,Чоловік,08.12.1946,Фольклорист,селище Березне,"сквер Водопровідний 2-й, буд. 6 кв. 4, Жидачів, 66790",369-57-66,xriabets@example.com
Ткач,Тимофій,Ярославович,Чоловік,10.12.1939,Психолог,хутір Алмазна,"набережна Абрикосовий, буд. 21 кв. 36, Шаргород, 20961",098 276 30 84,dbezborodky@example.net
Макогон,Іван,Віталійович,Чоловік,07.12.1949,Фольклорист,хутір Первомайськ,"вулиця Лінія 53-тя, буд. 411, Іллінці, 26485",792 23 81,danna85@example.net
Жайворон,Степан,Степанович,Чоловік,09.12.1943,Краєзнавець,село Тетіїв,"провулок Суднобудівний, буд. 225, Немирів, 63391",+380 (50) 297-33-55,omelianzhuchenko@example.org
Бабійчук,Арсен,Ярославович,Чоловік,11.12.1932,Бухгалтер,село Чуднів,"шосе Лузанівка, буд. 61, Чуднів, 37181",823 22 05,shvedchenkoanita@example.org
Наливайко,Ігор,Зеновійович,Чоловік,10.12.1936,Правник,хутір Антрацит ,"проспект Новікова 2-га, буд. 221 кв. 1, Дубляни, 02340",+380 (33) 485-67-73,vasyl74@example.org
Худяк,Єлисавета,Романівна,Жінка,12.12.1931,Живописець,селище Золочів,"набережна Ананьївська, буд. 05 кв. 2, Борщів, 89855",069 500 12 52,iefrembazylevych@example.net
Колодуб,Нестор,Артемович,Чоловік,07.12.1948,Футболіст,село Сторожинець,"узвіз Павлова, буд. 55 кв. 063, Кам'янське, 12859",026 066-06-41,usykpriska@example.com
Ванченко,Августин,Романович,Чоловік,07.12.1949,Музикант,село Хрестівка,"площа Софіївська, буд. 988 кв. 27, Нововолинськ, 41416",+380 27 451-14-67,petro67@example.org
Вишиваний,Ада,Григоріївна,Жінка,10.12.1938,Ґрунтознавець,селище Ворожба,"набережна Спортивний, буд. 25, Радехів, 49236",082 249 08 24,wvermenych@example.org
Романчук,Христина,Зеновіївна,Жінка,10.12.1937,Доцент,місто Сватове,"проспект Ватманський, буд. 33 кв. 126, Миколаївка , 81137",+380 (88) 913-21-74,albert10@example.org
Супруненко,Тетяна,Богданівна,Жінка,12.12.1929,Краєзнавець,село Антрацит ,"шосе Китобійний 1-й, буд. 25 кв. 19, Знам'янка, 08807",443 99 85,shtepavioletta@example.org
Рудько,Дарина,Анатоліївна,Жінка,08.12.1946,Підприємець,хутір Стрий,"узвіз Гагаріна, буд. 5, Старобільськ, 34005",605 62 54,vasylynakhomenko@example.com
Твердохліб,Дарина,Віталіївна,Жінка,11.12.1932,Паблік рилейшнз,хутір Тульчин,"узвіз Івана Франка, буд. 246, Синельникове, 47333",246 91 02,tymofii06@example.org
Яремчук,Михайлина,Ярославівна,Жінка,12.12.1931,Вчитель,місто Жовті Води,"площа Митракова, буд. 887, Добромиль, 02119",+380 (90) 941-90-63,tymofii24@example.org
Чубай,Нестор,Тарасович,Чоловік,11.12.1932,Піаніст,село Ямпіль,"набережна Травневий 4-й, буд. 39, Вовчанськ, 81287",254 77 79,ielyseikovaliuk@example.com
Чумак,Алла,Святославівна,Жінка,07.12.1949,Акушер,село Канів,"шосе Дальній, буд. 957, Кам'янець-Подільський, 82116",041 603 51 98,artem37@example.org
Журавель,Едуард,Ярославович,Чоловік,09.12.1942,Сценарист,село Радивилів,"проспект Індійська, буд. 2 кв. 1, Вінниця, 42480",941 37 80,bparasiuk@example.net
Черінько,Галина,Василівна,Жінка,07.12.1949,Паблік рилейшнз,селище Гайсин,"сквер Кипарисний 3-й, буд. 8, Верхньодніпровськ, 73586",685 08 79,danylo86@example.org
Закусило,Одарка,Зеновіївна,Жінка,08.12.1946,Біолог,хутір Бахмач,"парк Лиманчик 2-й Лінія 8-ма, буд. 576, Вовчанськ, 43747",332 58 19,korpaniukieva@example.net
Чалий,Марʼяна,Віталіївна,Жінка,08.12.1947,Бухгалтер,село Вижниця,"сквер Тиха, буд. 83, Пустомити, 96903",044 239 86 56,ovsiienkoavhustyn@example.com
Гаврилів,Лілія,Віталіївна,Жінка,10.12.1937,Нотаріус,селище Лубни,"набережна Горіхова, буд. 9 кв. 1, Болград, 09375",+380 22 684-96-67,iaremaaleksandrenko@example.com
Калениченко,Дарина,Степанівна,Жінка,08.12.1947,Правник,місто Гребінка,"сквер Короткий, буд. 363 кв. 278, Великі Мости, 21619",+380 35 612 22 50,qkabanenko@example.com
Ісаєвич,Марта,Віталіївна,Жінка,12.12.1929,Драматург,село Чистякове,"парк Степова, буд. 01 кв. 68, Мостиська, 01060",081 01 37,albert74@example.org
Верес,Лукʼян,Богданович,Чоловік,11.12.1934,Гірник,село Лутугине,"сквер Басейний 4-й, буд. 4 кв. 210, Ясинувата, 73511",079 713-70-84,nestor69@example.net
Мамчур,Станіслав,Святославович,Чоловік,12.12.1930,Графік,місто Нікополь,"парк Артилерійський 2-й, буд. 0, Вишгород, 49264",+380 (69) 454-84-40,iemelianenkorostyslav@example.com
Адаменко,Валентин,Віталійович,Чоловік,07.12.1948,Художник,місто Біляївка,"набережна Виноградна, буд. 375, Корюківка, 72134",017 059 39 11,irenamasokha@example.org
Данчук,Камілла,Ігорівна,Жінка,07.12.1950,Детектив,місто Малин,"шосе Лінійний, буд. 2 кв. 799, Сарни, 40641",+380 51 798-24-21,rfranchuk@example.org
Саченко,Орина,Зеновіївна,Жінка,12.12.1930,Стропальник,селище Чернігів,"набережна Аркадійська, буд. 017 кв. 355, Радивилів, 54227",788 90 72,bshynkarenko@example.org
Павленко,Станіслав,Васильович,Чоловік,07.12.1951,Кінолог,хутір Ічня,"набережна Матроська Слобідка, буд. 701 кв. 91, Яворів, 55868",003 442-91-45,iaremaprytula@example.net
Примаченко,Ірена,Зеновіївна,Жінка,13.12.1924,Різноробочий,хутір Рубіжне,"шосе Кострова, буд. 944 кв. 71, Перещепине, 76268",+380 65 642-96-82,les16@example.org
Баклан,Соломія,Артемівна,Жінка,07.12.1951,Математик,селище Залізне,"площа Саксаганського, буд. 81, Рогатин, 37890",+380 27 123 46 77,frantsiatsenko@example.com
Каденюк,Арсен,Святославович,Чоловік,12.12.1928,Паралегал,село Богуслав,"проспект Перший Кришталевий, буд. 24 кв. 3, Ізмаїл, 64939",+380 78 971-15-44,tsymbalmarusia@example.net
Лавренко,Лесь,Романович,Чоловік,09.12.1940,Машиніст,селище Верхівцеве,"шосе Віри Фігнер, буд. 796 кв. 92, Буринь, 74361",+380 34 554 50 22,radchenkosvitlana@example.org
Фурс,Ярина,Максимівна,Жінка,13.12.1926,Складальник,селище Гребінка,"узвіз Західний 3-й, буд. 4, Горішні Плавні, 51265",+380 63 636-73-14,zynoviiromanenko@example.net
Корсун,Альберт,Ярославович,Чоловік,09.12.1943,Програміст,хутір Ужгород,"узвіз Терещенка Володимира, буд. 6, Мерефа, 80366",+380 22 953-46-27,bhydenkopriska@example.com
Юрченко,Микита,Артемович,Чоловік,11.12.1935,Мовознавець,село Костянтинівка,"узвіз Український 3-й, буд. 69 кв. 17, Красноград, 62382",691-31-38,paliidmytro@example.net
Данькевич,Емілія,Ярославівна,Жінка,13.12.1927,Нотаріус,селище Белз,"провулок Черешнева, буд. 077 кв. 5, Перещепине, 51650",265 50 02,mykhailyna45@example.com
Юхименко,Давид,Григорійович,Чоловік,10.12.1937,Єгер,місто Хуст,"площа Миколаївська дорога, буд. 161, Турка, 79238",007 560 92 67,fartymovych@example.org
Вернидуб,Маруся,Віталіївна,Жінка,07.12.1951,Лікар,село Збараж,"площа Орловська, буд. 4 кв. 283, Мирноград, 79950",+380 30 720-44-72,havryletsmykhailyna@example.net
Бездітко,Лукʼян,Васильович,Чоловік,06.12.1952,Льотчик,селище Ладижин,"провулок 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 6, Самбір, 17535",+380 80 344 74 58,iaryna90@example.com
Зайченко,Оксенія,Максимівна,Жінка,11.12.1934,Євнух,селище Бар,"проспект Кісельова Ігоря, буд. 978, Деражня, 73883",+380 90 776-52-83,ckorolenko@example.org
Пушкар,Віра,Богданівна,Жінка,10.12.1936,Фармацевт,хутір Вилкове,"набережна Український 1-й, буд. 3, Снігурівка, 19512",086 947 72 81,telychenkosviatoslav@example.com
Шелест,Ярина,Ігорівна,Жінка,13.12.1927,Науковець,місто Білицьке,"набережна Пересипський 2-й, буд. 464 кв. 7, Алупка, 29504",086 520-80-48,arsenzakharenko@example.net
Затовканюк,Ярема,Максимович,Чоловік,10.12.1936,Диригент,хутір Мостиська,"шосе Студентський 4-й, буд. 3 кв. 205, Радивилів, 04295",+380 60 226-99-57,umanetsoryna@example.org
Канівець,Ліза,Богданівна,Жінка,13.12.1924,Біолог,місто Тернопіль,"узвіз Клинова, буд. 6, Ірпінь, 08824",088-01-63,zarudnyimaksym@example.org
Забіла,Єлисей,Тарасович,Чоловік,13.12.1924,Футболіст,селище Бердянськ,"парк Прохоровський, буд. 00 кв. 810, Гнівань, 27469",+380 78 490-01-46,haidaistanislav@example.net
Каденюк,Алевтин,Богданович,Чоловік,11.12.1935,Науковець,селище Чорнобиль,"провулок Ветеранів праці, буд. 66, Торецьк, 14813",+380 99 746-36-72,marynaivanchenko@example.org
Тимченко,Ярина,Віталіївна,Жінка,11.12.1933,Промисловець,хутір Дергачі,"парк Косовська, буд. 9, Баранівка, 58703",+380 45 223 09 56,ivanchenkoveniiamyn@example.org
Носенко,Святослав,Ігорович,Чоловік,11.12.1933,Маркетолог,хутір Білогірськ,"набережна Костанді, буд. 72 кв. 22, Миронівка, 01410",+380 26 317-66-99,mbabiichuk@example.net
Нестайко,Стефан,Тарасович,Чоловік,11.12.1933,Археолог,місто Горлівка,"площа Мазараті, буд. 81, Ромни, 57468",+380 98 768 49 65,milenakovpak@example.net
Василевич,Василина,Анатоліївна,Жінка,14.12.1923,Письменник,місто Красилів,"парк Овідіопольська дорога, буд. 1 кв. 370, Скалат, 42516",028 776 59 35,biurchuk@example.org
Алексійчук,Мартин,Віталійович,Чоловік,12.12.1931,Ріелтор,село Каховка,"площа Рєпіна, буд. 788, Копичинці, 97027",023 227 24 68,usahal@example.net
Корж,Олекса,Артемович,Чоловік,07.12.1951,Краєзнавець,місто Охтирка,"проспект Пресича Олександра, буд. 06 кв. 45, Кременець, 08760",+380 93 523-77-08,telychenkobohdan@example.org
Романчук,Златослава,Артемівна,Жінка,11.12.1935,Продюсер,селище Боково-Хрустальне,"проспект Маринеско узвіз, буд. 920 кв. 63, Дніпро , 61723",+380 51 994 23 33,iryna20@example.org
Усик,Роман,Ігорович,Чоловік,09.12.1941,Бібліограф,місто Богуслав,"сквер Магнітогорський, буд. 56, Хорол , 28222",+380 61 540 59 91,dutkavitalii@example.net
Юрчишин,Богданна,Романівна,Жінка,13.12.1926,Громадський діяч,хутір Герца,"шосе Котляревського, буд. 91 кв. 2, Новогродівка, 96895",440 49 42,akomar@example.net
Щербань,Борислав,Анатолійович,Чоловік,07.12.1950,Музикознавець,хутір Кипуче,"узвіз Дунаєва, буд. 969 кв. 07, Лиман , 14899",519-32-18,shvedchenkotereza@example.org
Дергач,Соломія,Романівна,Жінка,10.12.1937,Актор,село Гірник ,"набережна Восьмого Березня Лінія 2-га, буд. 002, Полонне, 84676",+380 (98) 703-10-37,teodor47@example.net
Михайлюк,Єва,Анатоліївна,Жінка,09.12.1943,Юрист,село Боково-Хрустальне,"сквер Маячний, буд. 78 кв. 2, Судак , 86789",+380 79 837 79 82,sviatoslava84@example.net
Яременко,Володимира,Василівна,Жінка,12.12.1931,Астрофізик,хутір Путивль,"узвіз Нафтовиків 3-й, буд. 891, Дубровиця, 54427",+380 (10) 971-10-50,demydhavryshkevych@example.org
Дацюк,Станіслав,Зеновійович,Чоловік,11.12.1932,Різноробочий,місто Новоазовськ,"парк Цегельнозаводська, буд. 54 кв. 137, Суходільськ, 54663",+380 99 311-76-08,alina34@example.com
Баранник,Оксенія,Василівна,Жінка,10.12.1937,Електротехнік,селище Ромни,"проспект Соляний 1-й, буд. 18, Гребінка, 88983",+380 18 601-45-98,skhrystenko@example.net
Євдокименко,Аврелій,Максимович,Чоловік,13.12.1924,Професор,хутір Тиврів,"узвіз Китобійний 1-й, буд. 9, Інкерман, 29701",731 73 51,wdzhus@example.org
Лукаш,Анастасія,Богданівна,Жінка,10.12.1938,Нотаріус,селище Яремче,"вулиця Аеропортівський 5-й, буд. 223 кв. 4, Щолкіне, 68361",837 04 29,oksana22@example.com
Вишиваний,Надія,Святославівна,Жінка,13.12.1925,Геолог,село Мелітополь,"вулиця Книжковий, буд. 343, Світловодськ, 55482",099 213-73-43,lizasych@example.org
Терещенко,Анастасія,Артемівна,Жінка,11.12.1932,Епідеміолог,селище Буринь,"вулиця Аеродромний 1-й, буд. 63 кв. 229, Теплодар, 63043",112-64-28,panteleimonlupii@example.org
Гайдай,Федір,Максимович,Чоловік,09.12.1943,Фрілансер,хутір Марганець ,"узвіз Сонячна, буд. 247, Ромни, 77670",+380 18 633 97 94,zbatiuk@example.net
Смик,Марина,Олегівна,Жінка,11.12.1934,Композитор,село Іршава,"узвіз Середньофонтанська, буд. 453 кв. 65, Арциз, 10167",086 564 63 58,nataliia97@example.com
Даньків,Яків,Зеновійович,Чоловік,07.12.1949,Епідеміолог,село Жмеринка,"площа Шота Руставелі, буд. 642 кв. 5, Перевальськ, 94309",563 81 95,mykhailynaakymenko@example.com
Яценюк,Богданна,Ігорівна,Жінка,13.12.1924,Громадський діяч,місто Перещепине,"провулок Першотравневий 2-й, буд. 9 кв. 237, Полтава, 69074",+380 (29) 034-98-20,xdziuba@example.org
Даньків,Болеслав,Максимович,Чоловік,13.12.1924,Реабілітолог,селище Кременець,"набережна Косовська, буд. 784, Старий Крим, 82971",+380 (95) 874-96-17,zhadanoleh@example.net
Цибуленко,Любов,Григоріївна,Жінка,11.12.1935,Електрик,селище Гребінка,"проспект Березовий, буд. 97 кв. 72, Великі Мости, 54520",000 866 06 85,khrystenkookseniia@example.net
Сірко,Геннадій,Анатолійович,Чоловік,09.12.1942,Гірничий інженер,місто Корець,"вулиця 21-й км Старокиївської дороги, буд. 8, Бунге , 15285",037 953 86 99,ielysei51@example.net
Андрійович,Григорій,Святославович,Чоловік,12.12.1928,Гінеколог,селище Корюківка,"шосе Наявний 2-й, буд. 337, Гребінка, 05187",755-42-39,arsenkhrystych@example.net
Дахно,Азар,Васильович,Чоловік,11.12.1933,Няня,хутір Снятин,"площа Лїнія 1-ша, буд. 16 кв. 08, Мар'їнка, 30696",028 396-31-57,ushcherbak@example.com
Філіпенко,Софія,Григоріївна,Жінка,11.12.1935,Фізик,хутір Бережани,"сквер Котляревського, буд. 786, Зимогір'я, 02123",599-21-14,sviatoslava12@example.org
Чередник,Демид,Богданович,Чоловік,14.12.1923,Хореограф,селище Тернопіль,"площа Вапняне селище, буд. 6 кв. 14, Молочанськ, 61814",043 702 04 79,sofiiasimashkevych@example.net
Бабариченко,Онисим,Максимович,Чоловік,12.12.1929,Зоолог,селище Добропілля,"провулок Балтський 6-й, буд. 67 кв. 99, Марганець , 27355",002 842-33-14,nosachenkoiaryna@example.com
Верменич,Симон,Олегович,Чоловік,08.12.1944,Ріелтор,селище Тлумач,"вулиця 1-й Академічний тупик, буд. 657 кв. 23, Каховка, 52350",+380 06 157 90 17,fomenkomariana@example.com
Хоменко,Тетяна,Романівна,Жінка,11.12.1935,Нотаріус,село Зоринськ,"сквер Заньковецької, буд. 326 кв. 72, Сіверськ, 13725",+380 (15) 404-13-27,pavlo41@example.org
Карась,Віра,Зеновіївна,Жінка,07.12.1948,Шериф,селище Пустомити,"набережна Книжковий, буд. 48 кв. 13, Моспине, 82670",+380 (11) 462-64-34,herman79@example.org
Ісаєвич,Ростислав,Ігорович,Чоловік,13.12.1926,Фермер,хутір Новомиргород,"узвіз Заводська 5-та, буд. 2 кв. 9, Яготин, 72667",089 915 47 42,sdzhun@example.com
Вдовенко,Любов,Олегівна,Жінка,10.12.1937,Соціолог,село Кременчук,"провулок Могилівська, буд. 10 кв. 33, Глобине, 17520",+380 (86) 792-51-18,aarsenych@example.com
Бандура,Еріка,Ігорівна,Жінка,08.12.1944,Кур'єр,хутір Кам'янець-Подільський,"шосе Лінія 24-та, буд. 1 кв. 436, Новоукраїнка, 18893",099 505 59 88,vlasenkomyroslav@example.org
Девдюк,Світлана,Максимівна,Жінка,13.12.1925,Гінеколог,хутір Обухів,"шосе Виноградна, буд. 8, Ківерці, 38676",+380 97 357 41 53,zaporozhetsiaryna@example.net
Ірванець,Симон,Григорійович,Чоловік,09.12.1943,Інженер,село Маріуполь,"провулок Степна, буд. 360, Львів, 60073",+380 87 218 45 60,albina32@example.com
Влох,Роксолана,Богданівна,Жінка,09.12.1941,Водій,хутір Маріуполь,"проспект Інглезі, буд. 34, Кілія, 42964",545-60-67,leopoldhavrylenko@example.com
Короленко,Богодар,Ярославович,Чоловік,10.12.1937,Вчитель,село Васильків,"вулиця Грибоєдова, буд. 4, Заставна, 98786",106-34-89,vokhrimenko@example.com
Павличенко,Пармен,Ігорович,Чоловік,07.12.1950,Диригент,місто Гайворон,"набережна Елеваторна, буд. 3, Гайворон, 53509",+380 22 828 24 34,martyn85@example.com
Демиденко,Софія,Артемівна,Жінка,12.12.1928,Географ,село Костопіль,"площа Дюківська, буд. 38, Яремче, 20378",052 28 08,havryliukoleh@example.com
Безбородько,Климент,Максимович,Чоловік,08.12.1944,Професор,місто Кам'янське,"проспект Східчастий 4-й, буд. 478 кв. 41, Олевськ, 70056",048 006-06-91,hgerega@example.net
Бабиченко,Аніта,Богданівна,Жінка,07.12.1948,Гірничий інженер,місто Чоп,"вулиця Академіка Корольова, буд. 0 кв. 13, Миколаїв, 63134",+380 94 820 44 63,pylyp11@example.org
Шелест,Ліза,Зеновіївна,Жінка,13.12.1925,Нотаріус,місто Вовчанськ,"вулиця Лютнева, буд. 527, Бунге , 64799",727 58 86,albinadzyndra@example.com
Баштан,Тимофій,Зеновійович,Чоловік,13.12.1927,Художник,хутір Алчевськ,"площа Соляний 2-й, буд. 40, Полонне, 38240",911-80-81,marianaaleksiuk@example.net
Якимчук,Людмила,Степанівна,Жінка,12.12.1929,Штукатур,місто Феодосія,"шосе Лінія 42-га, буд. 9 кв. 70, Хмельницький, 47529",429 09 50,rostyslavbaklan@example.com
Москаль,Маруся,Тарасівна,Жінка,07.12.1948,Співак,хутір Суми,"набережна Ушинського, буд. 313 кв. 752, Городок, 41848",040-78-31,daryna67@example.org
Михалюк,Єфрем,Максимович,Чоловік,07.12.1950,Гірник,місто Богуслав,"парк Макова, буд. 437 кв. 16, Березне, 42934",+380 49 801-09-21,milenakhudobiak@example.net
Теличенко,Гліб,Романович,Чоловік,10.12.1936,Вчитель,хутір Суми,"провулок Панченка, буд. 773, Часів Яр, 25479",020 963-77-09,oksanahohol-ianovskyi@example.com
Сацюк,Левко,Тарасович,Чоловік,13.12.1926,Композитор,селище Узин,"шосе Долинська, буд. 427 кв. 4, Ізмаїл, 93056",+380 54 147 90 48,jdutka@example.com
Товстоліс,Віктор,Артемович,Чоловік,07.12.1951,Стропальник,хутір Дебальцеве,"провулок Ростовська, буд. 7, Старокостянтинів, 65758",+380 45 618 46 44,boryslav29@example.net
Чубай,Теодор,Максимович,Чоловік,08.12.1947,Шериф,село Маріуполь,"площа Кісельова Ігоря, буд. 0, Монастириська, 92993",+380 12 594-63-29,oksana20@example.com
Архипенко,Віра,Степанівна,Жінка,08.12.1944,Географ,місто Перемишляни,"узвіз Кутова, буд. 5, Глухів, 58228",+380 83 007-46-39,oleksandrkaras@example.net
Шаблій,Сніжана,Романівна,Жінка,08.12.1944,Прокурор,хутір Бровари,"проспект Чорноморський 8-й, буд. 2 кв. 381, Татарбунари, 49843",874-29-94,ruslankovalenko@example.org
Вернигора,Марина,Романівна,Жінка,12.12.1928,Різноробочий,хутір Лисичанськ,"сквер Курська, буд. 1 кв. 224, Чугуїв, 77261",009 368-67-16,zlatoslavaishchak@example.org
Корсун,Любов,Анатоліївна,Жінка,10.12.1936,Головний меркшейдер,село Вугледар,"сквер Геранієва, буд. 11, Красноград, 16324",+380 (41) 296-67-72,vakarchukpetro@example.com
Каденюк,Петро,Віталійович,Чоловік,09.12.1943,Промисловець,місто Городня,"парк Чернишевського, буд. 6 кв. 89, Авдіївка, 03985",+380 44 323-68-33,gmykhailychenko@example.org
Бабій,Тарас,Ярославович,Чоловік,08.12.1946,Пілот,місто Пустомити,"узвіз Трудовий, буд. 555 кв. 8, Гадяч, 35355",176-86-47,iaremchukielysaveta@example.net
Адамчук,Лариса,Василівна,Жінка,06.12.1952,Штукатур,хутір Щолкіне,"шосе Митна, буд. 603 кв. 315, Ладижин, 29618",014 178-51-11,valeriidemydenko@example.org
Канівець,Оксенія,Григоріївна,Жінка,12.12.1930,Педагог,хутір Волноваха,"шосе Ангарська, буд. 14, Краматорськ, 68900",485 16 29,qartymyshyn@example.org
Литвин,Пантелеймон,Ярославович,Чоловік,07.12.1950,Хореограф,селище Дебальцеве,"узвіз Студентський 3-й, буд. 8 кв. 2, Корець, 35212",031 676-44-95,jtaran@example.org
Акименко,Валентина,Максимівна,Жінка,10.12.1938,Літературознавець,село Пирятин,"провулок Гладкова, буд. 7, Южне, 27522",+380 (17) 404-73-12,onufriienkoopanas@example.com
Баштан,Лариса,Віталіївна,Жінка,11.12.1933,Головний меркшейдер,місто Бердичів,"набережна Магнітогорський 2-й, буд. 72, Хотин, 67429",732-56-73,tivanchenko@example.net
Даньків,Ганна,Богданівна,Жінка,10.12.1938,Педагог,місто Городенка,"шосе Теплична, буд. 03, Снятин, 90686",+380 53 667-59-04,rkarmaliuk@example.com
Цісик,Віра,Василівна,Жінка,11.12.1933,Штукатур,хутір Нікополь,"вулиця Обільний 1-й, буд. 9, Тальне, 92877",+380 77 955-17-15,khoma81@example.org
Сацюк,Христина,Тарасівна,Жінка,10.12.1936,Слідчий,село Алупка,"сквер Косяченка Олексія, буд. 57, Дубровиця, 21804",+380 (03) 168-23-73,avhustyn75@example.com
Архипенко,Лукʼян,Артемович,Чоловік,09.12.1940,Прокурор,селище Здолбунів,"парк Миколи Вороного, буд. 315 кв. 9, Тернівка , 09509",+380 75 913 25 21,baranmyron@example.org
